sentiment,entity_num,word_count,avg_word_len,char_count,anger,disgust,fear,joy,sadness,is_quote,followers,friends,verified,retweets,favorites
0.0,1.0,11,7.909090909090909,87,0.093628881948,0.191832519144,0.1410777816,0.2800276563,0.1573428171,1,4915788,775,1,1,5449
0.0,2.0,14,7.214285714285714,101,0.12078956233400001,0.045483706358,0.1850205712,0.38051063697000004,0.046796855713999996,1,1372231,161,1,3,578
-1.32129196911,1.0,12,7.833333333333333,94,0.10215029302800001,0.174922752312,0.5523283200960001,0.036415090908,0.29984409504,1,6850273,1072,1,0,1075
-1.8026191641190001,3.0,23,8.130434782608695,187,0.279127030035,0.276867806562,0.27670519971599994,0.719028202219,0.302943186594,1,6935,2137,1,0,501
0.501617531436,10.0,21,8.285714285714286,174,0.579684874905,0.714549387143,0.31398761141200004,1.1149510336939998,0.553698030685,1,25074,8321,1,0,13891
0.0,7.0,21,8.047619047619047,169,0.1535919924,0.898277812971,2.4153703314509998,0.22334422679800003,1.2480092569560002,1,1624,400,1,0,327
-1.058829806225,3.0,18,9.11111111111111,164,0.04356326284999999,0.138968048225,0.33969670240000005,0.12382385272499999,0.177212611275,1,354174,805,1,130,1357
-0.47082151269449996,6.0,42,5.976190476190476,251,0.18880879574099999,0.18460342195800003,0.132852836355,0.21117058737199998,0.25095222582700005,1,693447,395,1,91,1019
-0.8170637902575,7.0,37,7.45945945945946,276,0.387730605198,0.161326169001,0.18849686148900002,0.32683531376099995,0.18166770961499998,1,100,133,1,5,697
-1.370321902833,4.0,40,6.325,253,0.22942594160899998,0.471426467944,0.09412926166800001,0.11108664387600001,1.292434070792,1,1107419,360,1,38,2338
-1.098376030509,4.0,43,7.046511627906977,303,0.169635997576,0.11613231895199999,0.038270156629999996,0.8860580257599999,0.079776560108,1,91453,1037,1,10,219
-0.562784,4.0,30,5.933333333333334,178,0.340371879995,0.552585662015,0.200635039214,0.40731021318,0.664329091245,1,40957,2988,1,1,8161
0.352620332236,3.0,38,7.2894736842105265,277,0.123963440904,0.17912152353600003,0.10467584107200001,0.682520457672,0.9040736013599999,1,66159,4756,1,3,12544
-1.4265383994345,6.0,25,6.52,163,0.168438690098,0.114974232074,0.23712118757700001,0.750337514648,0.963377665673,1,39549,1627,1,1,3951
-1.55033106314,2.0,40,6.725,269,0.34928916924,0.12788468022,0.06593944698000001,0.22048159617,0.78381206607,1,720719,6895,1,11,2941
0.05177806116100003,4.0,40,6.825,273,0.403520401756,0.64107018374,0.31615369706499996,0.351964033212,0.220705531371,1,2496,1338,1,1,5935
0.683278,2.0,20,9.2,184,0.18155526999,0.14110179062400002,0.13914147483,0.353000155824,0.23903398113000002,1,1535,664,1,1,1652
1.098798554819,4.0,37,8.0,296,0.14365884801599998,0.098550785562,0.135035062344,1.020494370453,0.166007468343,1,399,380,1,0,878
0.24548534591,1.0,32,6.96875,223,0.084067486944,0.09256933106399999,0.095685369444,0.478291835196,0.118386956436,1,8134,1831,1,0,2849
-1.17574504168,6.0,34,8.382352941176471,285,0.10903551264,0.0386287272,0.051160019040000004,0.39168767375999997,0.08646542208000002,1,2473,915,1,0,5604
0.7376354282319999,4.0,27,8.444444444444445,228,0.342835299226,0.12254946974499999,0.47788827226999997,0.580916115005,1.111692187603,1,12587,793,1,1,2565
1.2274832349040001,6.0,31,7.290322580645161,226,0.38565958710600007,0.846926429,0.41711060466699995,0.520519623091,0.931532720369,1,470556,1167,1,11,951
0.676869,1.0,17,5.647058823529412,96,0.133949538072,0.18622854179999998,0.163865463216,0.338279474568,0.156459368856,1,1606004,1431,1,10,22911
0.54645223361,4.0,25,7.28,182,0.163767755785,0.12628273497,0.12458090221500001,0.64968192717,0.44327173997499997,1,490,456,1,0,23447
0.0,3.0,20,8.8,176,0.14849603262799999,0.21866746126900002,0.107908654144,0.128721552395,0.200317974267,1,745,208,1,0,83
-0.768091,1.0,20,7.1,142,0.07873744703999999,0.084034223112,0.48741590864400003,0.021043287132,0.519186781596,1,3076686,642,1,18,961
1.196535464998,2.0,33,7.242424242424242,239,0.044664669180000005,0.07335052231400001,0.069342413524,0.448865614528,0.114465980134,1,1664,180,1,0,615
1.121251451434,5.0,38,7.368421052631579,280,0.23700382129300002,0.08029092590300001,0.26243063519599996,0.878631943157,0.374386230138,1,152585,936,1,8,4589
-0.337508,2.0,29,6.586206896551724,191,0.0,0.0,0.0,0.0,0.0,1,13483,3022,1,1,3018
-0.609109,1.0,41,6.560975609756097,269,0.0,0.0,0.0,0.0,0.0,1,16536,7937,1,0,221
0.0,2.0,16,6.9375,111,0.161931984192,0.38535693184,0.052175964543999996,0.350929696096,0.137997931776,1,21557,14995,1,0,24684
-1.572578473439,4.0,27,7.407407407407407,200,0.263577851756,0.7760066100579999,0.749593741516,0.183408782198,0.513362595688,1,83307,2230,1,5,2135
0.5932952059729999,2.0,36,7.916666666666667,285,0.045096201888,0.077447448606,0.17801457417600003,1.016014348652,0.10805694400000002,1,75648,6333,1,5,3849
0.0,2.0,10,8.9,89,0.153764659083,0.08792225290800001,0.164747561517,0.12334768118400001,0.262704156876,1,4734,1187,1,2,609
0.0,2.0,12,9.333333333333334,112,0.24506166663200002,0.038647723016,0.11929224000800001,0.184617189256,0.34277115930400004,1,43602,392,1,2,524
0.26203722056699996,9.0,40,6.95,278,0.111048602346,0.09202344560199999,0.189301263008,1.8118434446200002,0.721546807498,1,6141,1539,1,0,1030
-1.050841412841,6.0,35,7.828571428571428,274,0.114226993998,0.23511046688999995,0.432722206035,0.22597746388200002,0.7015845581819999,1,330,382,1,0,618
